,location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
0,Guatemala,2021-02-25,Moderna,0,0.0,0.0,
1,Guatemala,2021-02-27,Moderna,2224,2224.0,0.0,
2,Guatemala,2021-03-01,Moderna,2427,2427.0,0.0,
3,Guatemala,2021-03-11,"Moderna, Oxford/AstraZeneca",19947,19947.0,0.0,
4,Guatemala,2021-03-12,"Moderna, Oxford/AstraZeneca",28534,28534.0,0.0,
5,Guatemala,2021-03-13,"Moderna, Oxford/AstraZeneca",30890,30890.0,0.0,
6,Guatemala,2021-03-14,"Moderna, Oxford/AstraZeneca",34217,34217.0,0.0,
7,Guatemala,2021-03-15,"Moderna, Oxford/AstraZeneca",42330,42330.0,0.0,
8,Guatemala,2021-03-16,"Moderna, Oxford/AstraZeneca",48130,48130.0,0.0,
9,Guatemala,2021-03-17,"Moderna, Oxford/AstraZeneca",55060,55060.0,0.0,
10,Guatemala,2021-03-18,"Moderna, Oxford/AstraZeneca",60182,60182.0,0.0,
11,Guatemala,2021-03-19,"Moderna, Oxford/AstraZeneca",66399,66399.0,0.0,
12,Guatemala,2021-03-20,"Moderna, Oxford/AstraZeneca",68852,68852.0,0.0,
13,Guatemala,2021-03-21,"Moderna, Oxford/AstraZeneca",69266,69266.0,0.0,
14,Guatemala,2021-03-22,"Moderna, Oxford/AstraZeneca",72405,72405.0,0.0,
15,Guatemala,2021-03-23,"Moderna, Oxford/AstraZeneca",78350,78350.0,0.0,
16,Guatemala,2021-03-24,"Moderna, Oxford/AstraZeneca",83076,83076.0,0.0,
17,Guatemala,2021-03-25,"Moderna, Oxford/AstraZeneca",88694,88694.0,0.0,
18,Guatemala,2021-03-26,"Moderna, Oxford/AstraZeneca",91918,91918.0,0.0,
19,Guatemala,2021-03-27,"Moderna, Oxford/AstraZeneca",93601,93231.0,370.0,
20,Guatemala,2021-03-28,"Moderna, Oxford/AstraZeneca",94272,93902.0,370.0,
21,Guatemala,2021-03-29,"Moderna, Oxford/AstraZeneca",98920,98402.0,518.0,
22,Guatemala,2021-03-30,"Moderna, Oxford/AstraZeneca",104919,103959.0,960.0,
23,Guatemala,2021-03-31,"Moderna, Oxford/AstraZeneca",108165,106973.0,1192.0,
24,Guatemala,2021-04-01,"Moderna, Oxford/AstraZeneca",110438,109246.0,1192.0,
25,Guatemala,2021-04-02,"Moderna, Oxford/AstraZeneca",112751,111559.0,1192.0,
26,Guatemala,2021-04-03,"Moderna, Oxford/AstraZeneca",114511,113319.0,1192.0,
27,Guatemala,2021-04-04,"Moderna, Oxford/AstraZeneca",116221,115029.0,1192.0,
28,Guatemala,2021-04-05,"Moderna, Oxford/AstraZeneca",119558,118325.0,1233.0,
29,Guatemala,2021-04-06,"Moderna, Oxford/AstraZeneca",123473,121848.0,1625.0,
30,Guatemala,2021-04-07,"Moderna, Oxford/AstraZeneca",127945,126320.0,1625.0,
31,Guatemala,2021-04-08,"Moderna, Oxford/AstraZeneca",132611,130985.0,1626.0,
32,Guatemala,2021-04-09,"Moderna, Oxford/AstraZeneca",137716,136077.0,1639.0,
33,Guatemala,2021-04-10,"Moderna, Oxford/AstraZeneca",139010,137371.0,1639.0,
34,Guatemala,2021-04-11,"Moderna, Oxford/AstraZeneca",139490,137851.0,1639.0,
35,Guatemala,2021-04-12,"Moderna, Oxford/AstraZeneca",143488,141766.0,1722.0,
36,Guatemala,2021-04-13,"Moderna, Oxford/AstraZeneca",147614,145795.0,1819.0,
37,Guatemala,2021-04-14,"Moderna, Oxford/AstraZeneca",150898,149078.0,1820.0,
38,Guatemala,2021-04-15,"Moderna, Oxford/AstraZeneca",154556,152733.0,1823.0,
39,Guatemala,2021-04-16,"Moderna, Oxford/AstraZeneca",157745,155919.0,1826.0,
40,Guatemala,2021-04-17,"Moderna, Oxford/AstraZeneca",157799,155973.0,1826.0,
